'name';'lon';'lat';'url'
'Hermes Paket Shop TabakLotto a.E.-Damm';9.7250065;52.3837286;'https://www.paket.net/hermes/paketshop/seelze/list/tabaklotto-a-e-damm/'
'Hermes Paket Laden Copy excellent';9.72878;52.38155;'https://www.paket.net/hermes/paketshop/seelze/list/copy-excellent/'
'Hermes Paket Shop Kiosk bei Koray';9.7342219;52.3895361;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-bei-koray/'
'Hermes Paket Filiale Lotto Kiosk';9.7211576;52.390623;'https://www.paket.net/hermes/paketshop/seelze/hainholz/lotto-kiosk/'
'Paket Shop Hermes Geschäft Kiosk Die Ecke';9.7311272;52.3911785;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-die-ecke/'
'Hermes Paket Geschäft Kiosk Lange Laube';9.7274235;52.3767474;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-lange-laube/'
'Paketshop Hermes ARAL Tankstelle';9.7400916;52.3833594;'https://www.paket.net/hermes/paketshop/ronnenberg/list/aral-tankstelle/'
'Hermes Paket Shop Der Dominicana';9.7381246;52.3900103;'https://www.paket.net/hermes/paketshop/seelze/list/der-dominicana/'
'Paketshop Hermes Kiosk Flacon';9.7230724;52.3756386;'https://www.paket.net/hermes/paketshop/seelze/limmer/kiosk-flacon/'
'Paketshop Hermes Kiosk Vahrenwald';9.7348075;52.393498;'https://www.paket.net/hermes/paketshop/seelze/list/kiosk-vahrenwald/'
'Hermes Paketshop VIP Kiosk';9.7334087;52.3747921;'https://www.paket.net/hermes/paketshop/seelze/list/vip-kiosk/'
'Paket Shop Hermes Geschäft Toto Lotto Vossstr';9.742921;52.3896542;'https://www.paket.net/hermes/paketshop/ronnenberg/list/toto-lotto-vossstr/'
'Paket Shop von Hermes MyPhone Repair';9.7468269;52.3851437;'https://www.paket.net/hermes/paketshop/ronnenberg/list/myphone-repair/'
'Hermes Paket Laden Doreens Blumenladen';9.7362686;52.3716718;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/doreens-blumenladen/'
'Hermes Paketshop Kiosk Eichstrasse';9.7498212;52.3819216;'https://www.paket.net/hermes/paketshop/ronnenberg/list/kiosk-eichstrasse/'
'Paket Shop Hermes Laden Spaet Kauf Kiosk';9.7267827;52.3699593;'https://www.paket.net/hermes/paketshop/seelze/limmer/spaet-kauf-kiosk/'
'Hermes Paketshop Toto Lotto Zengi';9.7466121;52.3932742;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/list/toto-lotto-zengi/'
'Paket Shop Hermes Laden Bustamis Buchhdlg.';9.7475356;52.3760853;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/bustamis-buchhdlg/'
'Paket Shop von Hermes Alle Aamin Shop';9.7154337;52.398348;'https://www.paket.net/hermes/paketshop/seelze/hainholz/alle-aamin-shop/'
'Hermes Paket Shop Lindener Kiosk';9.7046148;52.3765995;'https://www.paket.net/hermes/paketshop/seelze/limmer/lindener-kiosk/'
'Paket Shop Hermes Drucker Tankstelle';9.7062072;52.3719129;'https://www.paket.net/hermes/paketshop/seelze/limmer/drucker-tankstelle/'
'Hermes Paket Filiale Kiosk Lavesstrasse';9.7503;52.3730017;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/kiosk-lavesstrasse/'
'Paket Shop Hermes Kiosk Luay';9.7351802;52.4022026;'https://www.paket.net/hermes/paketshop/seelze/vahrenwald/kiosk-luay/'
'Paket Shop Hermes Geschäft Lotto Kiosk 23';9.746478;52.3662242;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/lotto-kiosk-23/'
'Paket Shop von Hermes Jet Tankstelle';9.7356045;52.4057388;'https://www.paket.net/hermes/paketshop/seelze/vahrenwald/jet-tankstelle/'
'Hermes Paket Shop Jet Tankstelle';9.7572336;52.396291;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/list/jet-tankstelle/'
'Hermes Paket Laden Action Point';9.7087131;52.3654479;'https://www.paket.net/hermes/paketshop/seelze/limmer/action-point/'
'Hermes Paketshop Phoenix Kiosk';9.6895648;52.3780739;'https://www.paket.net/hermes/paketshop/seelze/limmer/phoenix-kiosk/'
'Paket Shop Hermes Kiosk 96';9.6901296;52.3768728;'https://www.paket.net/hermes/paketshop/seelze/limmer/kiosk-96/'
'Paketshop von Hermes Kiosk 22';9.7545086;52.367656;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/kiosk-22/'
'Paketshop von Hermes Fotostudio MonoLine';9.7620846;52.3951591;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/list/fotostudio-monoline/'
'Paketshop von Hermes HEM Tankstelle';9.71118;52.40655;'https://www.paket.net/hermes/paketshop/seelze/hainholz/hem-tankstelle/'
'Hermes Paket Shop Total Tankstelle';9.693373;52.400738;'https://www.paket.net/hermes/paketshop/seelze/herrenhausen/total-tankstelle/'
'Paketshop Hermes Shell Tankstelle';9.7082281;52.4085508;'https://www.paket.net/hermes/paketshop/seelze/hainholz/shell-tankstelle/'
'Hermes Paketshop Kiosk Suedstadt';9.7567265;52.363985;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/kiosk-suedstadt/'
'Hermes Paketshop Kiosk 72';9.7485019;52.3587101;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/kiosk-72/'
'Hermes Paketshop Sitt Getraenkemarkt';9.6940333;52.3616905;'https://www.paket.net/hermes/paketshop/seelze/bornum/sitt-getraenkemarkt/'
'Hermes Paket Filiale Kiosk RW';9.6788563;52.3955072;'https://www.paket.net/hermes/paketshop/seelze/leinhausen/kiosk-rw/'
'Hermes Paket Geschäft ARAL Tankstelle';9.76813;52.3578541;'https://www.paket.net/hermes/paketshop/ronnenberg/bult/aral-tankstelle/'
'Paket Shop von Hermes KKV Schreibwaren';9.75559;52.3563;'https://www.paket.net/hermes/paketshop/ronnenberg/waldhausen/kkv-schreibwaren/'
'Paket Shop Hermes Laden Kiosk Kuemmel';9.7532821;52.4146666;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/vahrenwald/kiosk-kuemmel/'
'Paket Shop Hermes Filiale Getraenke Shop';9.7630796;52.4125919;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/vahrenwald/getraenke-shop/'
'Paket Shop Hermes Geschäft bbluel Autoteile';9.7016658;52.3521201;'https://www.paket.net/hermes/paketshop/seelze/bornum/bbluel-autoteile/'
'Paket Shop von Hermes AYGAMES AN & VERKAUF';9.6722768;52.3984413;'https://www.paket.net/hermes/paketshop/seelze/leinhausen/aygames-an-und-verkauf/'
'Paket Shop Hermes Laden Lotto Bahnbruecke';9.7862842;52.3731551;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/kleefeld/lotto-bahnbruecke/'
'Paket Shop Hermes Filiale Can Kiosk';9.672827;52.3633426;'https://www.paket.net/hermes/paketshop/seelze/badenstedt/can-kiosk/'
'Hermes Paket Filiale Shell Tankstelle';9.7061737;52.3472989;'https://www.paket.net/hermes/paketshop/seelze/ricklingen/shell-tankstelle/'
'Paketshop von Hermes TTankstelle Badenst.';9.677732;52.3582848;'https://www.paket.net/hermes/paketshop/seelze/badenstedt/ttankstelle-badenst/'
'Hermes Paket Laden Kiosk Steinbreite';9.6636494;52.3721925;'https://www.paket.net/hermes/paketshop/seelze/davenstedt/kiosk-steinbreite/'
'Paketshop Hermes Kiosk 77';9.79276;52.3718044;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/kleefeld/kiosk-77/'
'Hermes Paket Laden Shell Tankstelle';9.7931462;52.3973805;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/gross-buchholz/shell-tankstelle/'
'Hermes Paket Shop Kiosk Suerig';9.7782433;52.4139803;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/bothfeld/kiosk-suerig/'
'Paket Shop Hermes Geschäft HEM Tankstelle';9.67849;52.41584;'https://www.paket.net/hermes/paketshop/seelze/stoecken/hem-tankstelle/'
'Paketshop von Hermes Eichsfelder Kiosk';9.6684656;52.4097905;'https://www.paket.net/hermes/paketshop/seelze/stoecken/eichsfelder-kiosk/'
'Paket Shop Hermes Schreibwaren Doehren';9.762301;52.3456846;'https://www.paket.net/hermes/paketshop/ronnenberg/waldhausen/schreibwaren-doehren/'
'Paketshop Hermes Stichweh Reinigung';9.6713071;52.3557803;'https://www.paket.net/hermes/paketshop/seelze/badenstedt/stichweh-reinigung/'
'Paketshop Hermes Kiosk Alte Heide';9.7818665;52.415229;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/bothfeld/kiosk-alte-heide/'
'Paketshop von Hermes famila Tankstelle';9.7160384;52.4301274;'https://www.paket.net/hermes/paketshop/seelze/vinnhorst/famila-tankstelle/'
'Paketshop Hermes Ginos Kiosk';9.717366;52.3386303;'https://www.paket.net/hermes/paketshop/ronnenberg/ricklingen/ginos-kiosk/'
'Paketshop Hermes Papier Center';9.663889;52.4102558;'https://www.paket.net/hermes/paketshop/seelze/stoecken/papier-center/'
'Hermes Paket Geschäft Kiosk Shop';9.7318445;52.4320258;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/godshorn/kiosk-shop/'
'Paket Shop Hermes Toto-Lotto Nguyen';9.6935573;52.340734;'https://www.paket.net/hermes/paketshop/seelze/bornum/toto-lotto-nguyen/'
'Hermes Paket Shop Werbewelt Copex';9.7634276;52.3409574;'https://www.paket.net/hermes/paketshop/ronnenberg/waldhausen/werbewelt-copex/'
'Paket Shop von Hermes Kiosk Hindenburg';9.7447759;52.4336074;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/godshorn/kiosk-hindenburg/'
'Paketshop von Hermes Kiosk Stehcafe';9.766654;52.3398876;'https://www.paket.net/hermes/paketshop/ronnenberg/doehren/kiosk-stehcafe/'
'Paket Shop Hermes Geschäft Valentinas Naehstube';9.8099614;52.390852;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/gross-buchholz/valentinas-naehstube/'
'Hermes Paket Filiale EDEKA SchmidtChrist';9.6456556;52.4011723;'https://www.paket.net/hermes/paketshop/seelze/letter/edeka-schmidtchrist/'
'Paket Shop Hermes Shell Tankstelle';9.8036722;52.4079694;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/bothfeld/shell-tankstelle/'
'Hermes Paket Geschäft TOTAL - Tankstelle';9.7974057;52.4145422;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/bothfeld/total-tankstelle/'
'Paket Shop Hermes Geschäft Stichweh Reinigung';9.8128985;52.3807874;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/gross-buchholz/stichweh-reinigung/'
'Paket Shop Hermes Shell Tankstelle';9.7363702;52.4379395;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/godshorn/shell-tankstelle/'
'Paket Shop Hermes Filiale Kiosk Heidkampe';9.8049217;52.4120104;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/bothfeld/kiosk-heidkampe/'
'Paket Shop von Hermes Sprint Tankstelle';9.6653972;52.3435673;'https://www.paket.net/hermes/paketshop/seelze/empelde/sprint-tankstelle/'
'Paketshop Hermes Schneiderei Genrich';9.7349104;52.4403718;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/godshorn/schneiderei-genrich/'
'Hermes Paketshop Kiosk West';9.690208;52.3330305;'https://www.paket.net/hermes/paketshop/seelze/wettbergen/kiosk-west/'
'Hermes Paket Filiale Shell Tankstelle';9.7720958;52.3346924;'https://www.paket.net/hermes/paketshop/ronnenberg/doehren/shell-tankstelle/'
'Hermes Paket Laden Hoyer Tank Treff';9.72293;52.44144;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/godshorn/hoyer-tank-treff/'
'Hermes Paket Laden bft Tankstelle';9.7011257;52.3291075;'https://www.paket.net/hermes/paketshop/ronnenberg/wettbergen/bft-tankstelle/'
'Paketshop Hermes Kiosk 19';9.694661;52.3295789;'https://www.paket.net/hermes/paketshop/seelze/wettbergen/kiosk-19/'
'Hermes Paketshop Stichweh Reinigung';9.7241332;52.3248951;'https://www.paket.net/hermes/paketshop/ronnenberg/devese/stichweh-reinigung/'
'Hermes Paket Shop STAR Tankstelle';9.73705;52.44411;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/godshorn/star-tankstelle/'
'Paket Shop Hermes Laden Kiosk an der Ecke';9.7738318;52.3316599;'https://www.paket.net/hermes/paketshop/ronnenberg/wuelfel/kiosk-an-der-ecke/'
'Hermes Paket Filiale schreib fit Schmidt';9.8229686;52.3998027;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/gross-buchholz/schreib-fit-schmidt/'
'Hermes Paket Shop ARAL Tankstelle';9.7248978;52.3226712;'https://www.paket.net/hermes/paketshop/ronnenberg/devese/aral-tankstelle/'
'Paket Shop Hermes Kiosk Ruebezahl';9.789172;52.3338351;'https://www.paket.net/hermes/paketshop/ronnenberg/mittelfeld/kiosk-ruebezahl/'
'Paket Shop Hermes Geschäft Adam Getraenke GmbH';9.74878;52.3206;'https://www.paket.net/hermes/paketshop/ronnenberg/wilkenburg/adam-getraenke-gmbh/'
'Hermes Paketshop Express 2000';9.7418123;52.4491923;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/kraehenwinkel/express-2000/'
'Paket Shop Hermes Geschäft Kiosk am Kanal';9.834148;52.3864139;'https://www.paket.net/hermes/paketshop/lehrte-bei-hannover/gross-buchholz/kiosk-am-kanal/'
'Paket Shop Hermes Laden ARAL Tankstelle';9.6350403;52.4186538;'https://www.paket.net/hermes/paketshop/seelze/marienwerder/aral-tankstelle/'
'Paket Shop von Hermes Total Tankstelle';9.6188237;52.3779103;'https://www.paket.net/hermes/paketshop/seelze/harenberg/total-tankstelle/'
'Paket Shop Hermes Filiale Hermes Depot';9.6923016;52.4475523;'https://www.paket.net/hermes/paketshop/seelze/godshorn/hermes-depot/'
'Hermes Paketshop HEM Tankstelle';9.8022663;52.4329818;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/isernhagen-sued/hem-tankstelle/'
'Paketshop Hermes Westfalen Tankstelle';9.7818629;52.3264656;'https://www.paket.net/hermes/paketshop/ronnenberg/wuelfel/westfalen-tankstelle/'
'Hermes Paketshop Joiss Tankstelle';9.8276384;52.3559068;'https://www.paket.net/hermes/paketshop/laatzen-bei-hannover/kirchrode/joiss-tankstelle/'
'Hermes Paket Shop STAR Tankst. Seelze';9.6144997;52.3929578;'https://www.paket.net/hermes/paketshop/seelze/seelze/star-tankst-seelze/'
'Hermes Paketshop Shell Tankstelle';9.8124579;52.3378989;'https://www.paket.net/hermes/paketshop/laatzen-bei-hannover/bemerode/shell-tankstelle/'
'Paketshop von Hermes Tankpoint Pferdemark';9.7274809;52.4547304;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/kraehenwinkel/tankpoint-pferdemark/'
'Paket Shop Hermes Geschäft Stichweh Textil';9.8285114;52.3468085;'https://www.paket.net/hermes/paketshop/sehnde/bemerode/stichweh-textil/'
'Paket Shop Hermes Laden HEM Tankstelle';9.8326861;52.4193231;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/lahe/hem-tankstelle/'
'Paketshop Hermes STAR Tankst.Havelse';9.6113998;52.405287;'https://www.paket.net/hermes/paketshop/seelze/marienwerder/star-tankst-havelse/'
'Hermes Paket Filiale ESSO Tankstelle';9.8274308;52.3436579;'https://www.paket.net/hermes/paketshop/sehnde/bemerode/esso-tankstelle/'
'Paket Shop von Hermes Shell Tankstelle';9.7337246;52.3093546;'https://www.paket.net/hermes/paketshop/ronnenberg/arnum-kreis-hannover/shell-tankstelle/'
'Paket Shop von Hermes Allround Kiosk';9.828438;52.4281541;'https://www.paket.net/hermes/paketshop/langenhagen-hannover/lahe/allround-kiosk/'
'Paket Shop Hermes Filiale Rauch Palast';9.7881907;52.3179307;'https://www.paket.net/hermes/paketshop/ronnenberg/wuelfel/rauch-palast/'
'Paket Shop von Hermes Schluesseld. im EKZ';9.7953599;52.3202061;'https://www.paket.net/hermes/paketshop/ronnenberg/mittelfeld/schluesseld-im-ekz/'
'Paketshop von Hermes Kiosk Adnan';9.6602602;52.318039;'https://www.paket.net/hermes/paketshop/seelze/ronnenberg/kiosk-adnan/'
